FIELD	QMC	ST	DATE	TIME	var_field
52671610	8	80	30.05.2025	08:53:42	52671,61
52670022	8	80	30.05.2025	08:53:48	52670,022
52670365	7	80	30.05.2025	08:53:54	52670,365
52662445	7	80	30.05.2025	08:54:00	52662,445
52662133	7	80	30.05.2025	08:54:06	52662,133
52661984	8	80	30.05.2025	08:54:12	52661,984
52659930	8	80	30.05.2025	08:54:18	52659,93
52658983	7	80	30.05.2025	08:54:24	52658,983
52662554	7	80	30.05.2025	08:54:30	52662,554
52659466	7	80	30.05.2025	08:54:36	52659,466
52658964	8	80	30.05.2025	08:54:42	52658,964
52666701	8	80	30.05.2025	08:54:48	52666,701
52674499	7	80	30.05.2025	08:54:54	52674,499
52669374	8	80	30.05.2025	08:55:00	52669,374
52670560	7	80	30.05.2025	08:55:06	52670,56
52669201	7	80	30.05.2025	08:55:12	52669,201
52670499	8	80	30.05.2025	08:55:18	52670,499
52668312	7	80	30.05.2025	08:55:24	52668,312
52667193	7	80	30.05.2025	08:55:30	52667,193
52667276	7	80	30.05.2025	08:55:36	52667,276
52668212	8	80	30.05.2025	08:55:42	52668,212
52667452	7	80	30.05.2025	08:55:48	52667,452
52668559	7	80	30.05.2025	08:55:54	52668,559
52667903	7	80	30.05.2025	08:56:00	52667,903
52666708	7	80	30.05.2025	08:56:06	52666,708
52663579	7	80	30.05.2025	08:56:12	52663,579
52663036	7	80	30.05.2025	08:56:18	52663,036
52661930	8	80	30.05.2025	08:56:24	52661,93
52664057	7	80	30.05.2025	08:56:30	52664,057
52662494	8	80	30.05.2025	08:56:36	52662,494
52663639	7	80	30.05.2025	08:56:42	52663,639
52664613	7	80	30.05.2025	08:56:48	52664,613
52666229	8	80	30.05.2025	08:56:54	52666,229
52671498	8	80	30.05.2025	08:57:00	52671,498
52668429	7	80	30.05.2025	08:57:06	52668,429
52666016	8	80	30.05.2025	08:57:12	52666,016
52664197	8	80	30.05.2025	08:57:18	52664,197
52662107	7	80	30.05.2025	08:57:24	52662,107
52652617	8	80	30.05.2025	08:57:30	52652,617
52651393	8	80	30.05.2025	08:57:36	52651,393
52660730	7	80	30.05.2025	08:57:42	52660,73
52671892	8	80	30.05.2025	08:57:48	52671,892
52674097	7	80	30.05.2025	08:57:54	52674,097
52678908	7	80	30.05.2025	08:58:00	52678,908
52685856	8	80	30.05.2025	08:58:06	52685,856
52686434	7	80	30.05.2025	08:58:12	52686,434
52685886	8	80	30.05.2025	08:58:18	52685,886
52683637	7	80	30.05.2025	08:58:24	52683,637
52685190	7	80	30.05.2025	08:58:30	52685,19
52685895	7	80	30.05.2025	08:58:36	52685,895
52686643	8	80	30.05.2025	08:58:42	52686,643
