Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
57	57	31,25	364453.9064	6178560.39	11:49:43	02.06.2025	52847196	52848037
57	57	31,343	364453.9528	6178560.311	11:49:44	02.06.2025	52846058	52849236
57	57	31,435	364453.9997	6178560.231	11:49:44	02.06.2025	52845252	52849620
57	57	31,528	364454.0461	6178560.151	11:49:44	02.06.2025	52844811	52849165
57	57	31,62	364454.0931	6178560.071	11:49:44	02.06.2025	52844467	52849578
57	57	31,713	364454.14	6178559.991	11:49:44	02.06.2025	52844230	52849393
57	57	31,806	364454.1864	6178559.911	11:49:44	02.06.2025	52844787	52849350
57	57	31,898	364454.2333	6178559.831	11:49:44	02.06.2025	52845511	52849386
57	57	31,991	364454.2797	6178559.751	11:49:44	02.06.2025	52845086	52848170
57	57	32,083	364453.3053	6178561.412	11:49:44	02.06.2025	52844838	52847849
57	57	32,176	364453.3522	6178561.332	11:49:44	02.06.2025	52845151	52848003
57	57	32,269	364453.3986	6178561.252	11:49:45	02.06.2025	52847755	52847572
57	57	32,361	364453.4455	6178561.172	11:49:45	02.06.2025	52849083	52849107
57	57	32,454	364453.4919	6178561.093	11:49:45	02.06.2025	52849165	52849108
57	57	32,546	364453.5388	6178561.012	11:49:45	02.06.2025	52848650	52848659
57	57	32,639	364453.5852	6178560.933	11:49:45	02.06.2025	52847962	52847971
57	57	32,731	364453.6321	6178560.853	11:49:45	02.06.2025	52846942	52846942
57	57	32,824	364453.679	6178560.772	11:49:45	02.06.2025	52844345	52847893
57	57	32,917	364453.7254	6178560.693	11:49:45	02.06.2025	52840081	52848587
57	57	33,009	364452.7979	6178562.273	11:49:45	02.06.2025	52833980	52848868
57	57	33,102	364452.8443	6178562.194	11:49:45	02.06.2025	52823986	52849098
57	57	33,194	364452.8912	6178562.114	11:49:46	02.06.2025	52806132	52849095
57	57	33,287	364452.9381	6178562.033	11:49:46	02.06.2025	52772239	52849372
57	57	33,38	364452.9845	6178561.954	11:49:46	02.06.2025	52703280	52849399
57	57	33,472	364453.0314	6178561.874	11:49:46	02.06.2025	52624609	52849941
57	57	33,565	364453.0778	6178561.794	11:49:46	02.06.2025	52696620	52850243
57	57	33,657	364453.1247	6178561.714	11:49:46	02.06.2025	52823017	52851012
57	57	33,75	364453.1716	6178561.634	11:49:46	02.06.2025	52902329	52851280
57	57	33,843	364453.218	6178561.554	11:49:46	02.06.2025	52923986	52851721
57	57	33,935	364453.2649	6178561.474	11:49:46	02.06.2025	52910548	52852042
57	57	34,028	364452.2905	6178563.135	11:49:46	02.06.2025	52889720	52852450
57	57	34,12	364452.3374	6178563.054	11:49:47	02.06.2025	52873054	52852856
57	57	34,213	364452.3843	6178562.974	11:49:47	02.06.2025	52863531	52853060
57	57	34,306	364452.4307	6178562.895	11:49:47	02.06.2025	52859120	52853144
57	57	34,398	364452.4777	6178562.814	11:49:47	02.06.2025	52856957	52852995
57	57	34,491	364452.5241	6178562.735	11:49:47	02.06.2025	52856147	52853451
57	57	34,583	364452.571	6178562.654	11:49:47	02.06.2025	52856017	52854065
57	57	34,676	364452.6179	6178562.574	11:49:47	02.06.2025	52855859	52853733
57	57	34,769	364452.6643	6178562.495	11:49:47	02.06.2025	52855049	52854402
57	57	34,861	364452.7112	6178562.414	11:49:47	02.06.2025	52854402	52854354
57	57	34,954	364452.7576	6178562.335	11:49:47	02.06.2025	52855358	52854396
57	57	35,046	364451.7832	6178563.996	11:49:48	02.06.2025	52857852	52853742
57	57	35,139	364451.8296	6178563.916	11:49:48	02.06.2025	52860726	52853899
57	57	35,231	364451.8765	6178563.836	11:49:48	02.06.2025	52864284	52853630
57	57	35,324	364451.9234	6178563.756	11:49:48	02.06.2025	52867747	52853855
57	57	35,417	364451.9698	6178563.676	11:49:48	02.06.2025	52871669	52853744
57	57	35,509	364452.0167	6178563.596	11:49:48	02.06.2025	52877142	52853746
57	57	35,602	364452.0631	6178563.517	11:49:48	02.06.2025	52883597	52853489
57	57	35,694	364452.11	6178563.436	11:49:48	02.06.2025	52890594	52853279
57	57	35,787	364452.1569	6178563.356	11:49:48	02.06.2025	52896449	52853345
57	57	35,88	364452.2033	6178563.277	11:49:48	02.06.2025	52898594	52852781
57	57	35,972	364452.2502	6178563.196	11:49:49	02.06.2025	52890763	52852655
57	57	36,065	364451.2758	6178564.857	11:49:49	02.06.2025	52873061	52852115
57	57	36,157	364451.3227	6178564.777	11:49:49	02.06.2025	52860654	52851839
57	57	36,25	364451.3696	6178564.696	11:49:49	02.06.2025	52856361	52851560
57	57	36,343	364451.416	6178564.617	11:49:49	02.06.2025	52854713	52851608
57	57	36,435	364451.4629	6178564.537	11:49:49	02.06.2025	52853820	52851408
57	57	36,528	364451.5093	6178564.457	11:49:49	02.06.2025	52852746	52851260
57	57	36,62	364451.5562	6178564.377	11:49:49	02.06.2025	52851466	52850690
57	57	36,713	364451.6031	6178564.297	11:49:49	02.06.2025	52849764	52849803
57	57	36,806	364451.6495	6178564.217	11:49:49	02.06.2025	52848786	52848891
57	57	36,898	364451.6965	6178564.137	11:49:50	02.06.2025	52848801	52848753
57	57	36,991	364451.7429	6178564.057	11:49:50	02.06.2025	52848931	52848931
57	57	37,083	364450.7684	6178565.718	11:49:50	02.06.2025	52849171	52849075
57	57	37,176	364450.8154	6178565.638	11:49:50	02.06.2025	52849674	52849546
57	57	37,269	364450.8618	6178565.559	11:49:50	02.06.2025	52850575	52850249
57	57	37,361	364450.9087	6178565.478	11:49:50	02.06.2025	52851312	52848765
57	57	37,454	364450.9551	6178565.399	11:49:50	02.06.2025	52851856	52848764
57	57	37,546	364451.002	6178565.318	11:49:50	02.06.2025	52852135	52848419
57	57	37,639	364451.0484	6178565.239	11:49:50	02.06.2025	52852545	52847808
57	57	37,731	364451.0953	6178565.159	11:49:50	02.06.2025	52853051	52847840
57	57	37,824	364451.1422	6178565.078	11:49:51	02.06.2025	52853333	52847302
57	57	37,917	364451.1886	6178564.999	11:49:51	02.06.2025	52852818	52847274
57	57	38,009	364450.2611	6178566.579	11:49:51	02.06.2025	52851411	52847143
57	57	38,102	364450.3075	6178566.5	11:49:51	02.06.2025	52849587	52847391
57	57	38,194	364450.3544	6178566.42	11:49:51	02.06.2025	52848007	52847288
57	57	38,287	364450.4013	6178566.339	11:49:51	02.06.2025	52846435	52846604
57	57	38,38	364450.4477	6178566.26	11:49:51	02.06.2025	52845188	52845979
57	57	38,472	364450.4946	6178566.18	11:49:51	02.06.2025	52843957	52844940
57	57	38,565	364450.541	6178566.1	11:49:51	02.06.2025	52843064	52845892
57	57	38,657	364450.5879	6178566.02	11:49:51	02.06.2025	52843024	52845820
57	57	38,75	364450.6348	6178565.94	11:49:52	02.06.2025	52843110	52845769
57	57	38,843	364450.6812	6178565.86	11:49:52	02.06.2025	52843000	52845596
57	57	38,935	364450.7281	6178565.78	11:49:52	02.06.2025	52842950	52845491
57	57	39,028	364449.7537	6178567.441	11:49:52	02.06.2025	52843158	52845721
57	57	39,12	364449.8006	6178567.36	11:49:52	02.06.2025	52843796	52844044
57	57	39,213	364449.8475	6178567.28	11:49:52	02.06.2025	52844734	52844598
57	57	39,306	364449.8939	6178567.201	11:49:52	02.06.2025	52844546	52844498
57	57	39,398	364449.9408	6178567.12	11:49:52	02.06.2025	52845840	52845681
57	57	39,491	364449.9872	6178567.041	11:49:52	02.06.2025	52847503	52844740
57	57	39,583	364450.0342	6178566.961	11:49:52	02.06.2025	52848934	52844916
57	57	39,676	364450.0811	6178566.88	11:49:53	02.06.2025	52849419	52844463
57	57	39,769	364450.1275	6178566.801	11:49:53	02.06.2025	52847786	52845077
57	57	39,861	364450.1744	6178566.721	11:49:53	02.06.2025	52844447	52844919
57	57	39,954	364449.2464	6178568.302	11:49:53	02.06.2025	52842454	52842463
58	58	0,045	364470.4	6178534.362	11:52:15	02.06.2025	52831537	52831489
58	58	0,136	364470.4459	6178534.283	11:52:15	02.06.2025	52831746	52831722
58	58	0,227	364470.4918	6178534.205	11:52:15	02.06.2025	52832006	52831933
58	58	0,318	364470.5377	6178534.126	11:52:15	02.06.2025	52832213	52830511
58	58	0,409	364470.5836	6178534.048	11:52:15	02.06.2025	52832365	52831530
58	58	0,5	364470.6295	6178533.969	11:52:15	02.06.2025	52832482	52832290
58	58	0,591	364470.6753	6178533.89	11:52:15	02.06.2025	52832266	52832338
58	58	0,682	364470.7212	6178533.812	11:52:15	02.06.2025	52831601	52831601
58	58	0,773	364470.7671	6178533.733	11:52:15	02.06.2025	52830745	52831888
58	58	0,864	364470.813	6178533.655	11:52:15	02.06.2025	52830259	52830283
58	58	0,955	364470.8584	6178533.577	11:52:16	02.06.2025	52830303	52830175
58	58	1,045	364469.8926	6178535.223	11:52:16	02.06.2025	52831257	52831257
58	58	1,136	364469.9385	6178535.144	11:52:16	02.06.2025	52832655	52832599
58	58	1,227	364469.9844	6178535.066	11:52:16	02.06.2025	52834420	52834300
58	58	1,318	364470.0303	6178534.987	11:52:16	02.06.2025	52836289	52834524
58	58	1,409	364470.0762	6178534.909	11:52:16	02.06.2025	52839312	52834236
58	58	1,5	364470.1221	6178534.83	11:52:16	02.06.2025	52845422	52834068
58	58	1,591	364470.168	6178534.752	11:52:16	02.06.2025	52854496	52834540
58	58	1,682	364470.2139	6178534.673	11:52:16	02.06.2025	52867132	52834946
58	58	1,773	364470.2598	6178534.594	11:52:16	02.06.2025	52880980	52835237
