Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
0	0	21.667	364410.0139	6178522.69	09:42:34	30.05.2025	52650104	52643279
0	0	21.752	364410.0573	6178522.616	09:42:34	30.05.2025	52651966	52643714
0	0	21.838	364410.1002	6178522.543	09:42:34	30.05.2025	52653572	52643966
0	0	21.923	364410.1436	6178522.468	09:42:34	30.05.2025	52654652	52644498
0	0	22.009	364409.21	6178524.065	09:42:34	30.05.2025	52655096	52644816
0	0	22.094	364409.2529	6178523.992	09:42:34	30.05.2025	52655487	52644808
0	0	22.179	364409.2962	6178523.918	09:42:35	30.05.2025	52655915	52645564
0	0	22.265	364409.3391	6178523.844	09:42:35	30.05.2025	52656202	52645879
0	0	22.35	364409.3825	6178523.77	09:42:35	30.05.2025	52656789	52646373
0	0	22.436	364409.4254	6178523.696	09:42:35	30.05.2025	52657579	52646489
0	0	22.521	364409.4687	6178523.622	09:42:35	30.05.2025	52658073	52646759
0	0	22.607	364409.5116	6178523.549	09:42:35	30.05.2025	52658137	52647034
0	0	22.692	364409.555	6178523.475	09:42:35	30.05.2025	52658277	52647333
0	0	22.778	364409.5979	6178523.401	09:42:35	30.05.2025	52657971	52647621
0	0	22.863	364409.6412	6178523.327	09:42:35	30.05.2025	52657038	52647791
0	0	22.949	364409.6841	6178523.254	09:42:35	30.05.2025	52656107	52647743
0	0	23.034	364408.7077	6178524.924	09:42:36	30.05.2025	52655192	52648148
0	0	23.12	364408.7505	6178524.85	09:42:36	30.05.2025	52654363	52648318
0	0	23.205	364408.7939	6178524.776	09:42:36	30.05.2025	52652806	52648505
0	0	23.291	364408.8368	6178524.703	09:42:36	30.05.2025	52651220	52648371
0	0	23.376	364408.8802	6178524.628	09:42:36	30.05.2025	52649833	52648136
0	0	23.462	364408.923	6178524.555	09:42:36	30.05.2025	52649051	52649148
0	0	23.547	364409.0093	6178524.407	09:42:36	30.05.2025	52649492	52649442
0	0	23.718	364409.0522	6178524.334	09:42:36	30.05.2025	52651701	52649638
0	0	23.803	364409.0955	6178524.26	09:42:36	30.05.2025	52652474	52649815
0	0	23.889	364409.1384	6178524.186	09:42:37	30.05.2025	52653042	52649950
0	0	23.974	364409.1818	6178524.112	09:42:37	30.05.2025	52653577	52650590
0	0	24.06	364408.2053	6178525.782	09:42:37	30.05.2025	52654341	52650781
0	0	24.145	364408.2487	6178525.708	09:42:37	30.05.2025	52655024	52650830
0	0	24.231	364408.2916	6178525.635	09:42:37	30.05.2025	52655802	52651266
0	0	24.316	364408.335	6178525.56	09:42:37	30.05.2025	52655887	52651006
0	0	24.402	364408.3778	6178525.487	09:42:37	30.05.2025	52656056	52651254
0	0	24.487	364408.4212	6178525.413	09:42:37	30.05.2025	52656347	52651307
0	0	24.573	364408.4641	6178525.339	09:42:37	30.05.2025	52656707	52651378
0	0	24.658	364408.5075	6178525.265	09:42:37	30.05.2025	52656659	52651355
0	0	24.744	364408.5503	6178525.192	09:42:38	30.05.2025	52656509	52651598
0	0	24.829	364408.5937	6178525.118	09:42:38	30.05.2025	52655871	52651834
0	0	24.915	364408.6366	6178525.044	09:42:38	30.05.2025	52655343	52651663
0	0	25	364407.703	6178526.641	09:42:38	30.05.2025	52655198	52651460
0	0	25.085	364407.7464	6178526.567	09:42:38	30.05.2025	52654728	52651647
0	0	25.171	364407.7892	6178526.493	09:42:38	30.05.2025	52654164	52651766
0	0	25.256	364407.8326	6178526.419	09:42:38	30.05.2025	52654104	52651621
0	0	25.342	364407.8755	6178526.346	09:42:38	30.05.2025	52654551	52651803
0	0	25.427	364407.9189	6178526.271	09:42:38	30.05.2025	52655238	52651762
0	0	25.513	364407.9617	6178526.198	09:42:38	30.05.2025	52655917	52652119
0	0	25.598	364408.0051	6178526.124	09:42:39	30.05.2025	52656343	52652174
0	0	25.684	364408.048	6178526.05	09:42:39	30.05.2025	52657040	52652505
0	0	25.769	364408.0914	6178525.976	09:42:39	30.05.2025	52657277	52652423
0	0	25.855	364408.1342	6178525.903	09:42:39	30.05.2025	52657690	52652922
0	0	25.94	364408.1776	6178525.828	09:42:39	30.05.2025	52657850	52653016
0	0	26.026	364407.2007	6178527.5	09:42:39	30.05.2025	52657110	52653191
0	0	26.111	364407.244	6178527.425	09:42:39	30.05.2025	52656587	52653449
0	0	26.197	364407.2869	6178527.352	09:42:39	30.05.2025	52655024	52654282
0	0	26.282	364407.3303	6178527.278	09:42:39	30.05.2025	52653308	52653546
0	0	26.368	364407.3732	6178527.204	09:42:39	30.05.2025	52651184	52652426
0	0	26.453	364407.416	6178527.131	09:42:40	30.05.2025	52650067	52653375
0	0	26.538	364407.4594	6178527.057	09:42:40	30.05.2025	52650499	52652936
0	0	26.624	364407.5023	6178526.983	09:42:40	30.05.2025	52651747	52653040
0	0	26.709	364407.5457	6178526.909	09:42:40	30.05.2025	52651053	52651051
0	0	26.795	364407.5885	6178526.836	09:42:40	30.05.2025	52652273	52652059
0	0	26.88	364407.6319	6178526.761	09:42:40	30.05.2025	52652813	52651276
0	0	26.966	364407.6748	6178526.688	09:42:40	30.05.2025	52653349	52651316
0	0	27.051	364406.6983	6178528.358	09:42:40	30.05.2025	52654142	52651584
0	0	27.137	364406.7412	6178528.285	09:42:40	30.05.2025	52654941	52651549
0	0	27.222	364406.8275	6178528.137	09:42:40	30.05.2025	52655967	52650458
0	0	27.393	364406.8708	6178528.063	09:42:41	30.05.2025	52652095	52644567
0	0	27.479	364406.9999	6178527.842	09:42:41	30.05.2025	52651731	52644276
0	0	27.735	364407.0433	6178527.768	09:42:41	30.05.2025	52663796	52654348
0	0	27.821	364407.0862	6178527.694	09:42:41	30.05.2025	52665087.17	52654481.67
0	0	27.906	364407.1291	6178527.621	09:42:41	30.05.2025	52666378.33	52654615.33
0	0	27.991	364407.1724	6178527.547	09:42:41	30.05.2025	52667669.5	52654749
0	0	28.077	364406.196	6178529.217	09:42:41	30.05.2025	52668960.67	52654882.67
0	0	28.162	364406.2394	6178529.143	09:42:42	30.05.2025	52670251.83	52655016.33
