FIELD	QMC	ST	DATE	TIME	var_field
52625052	7	80	02.06.2025	08:51:18	52625,052
52625626	7	80	02.06.2025	08:51:21	52625,626
52622102	7	80	02.06.2025	08:51:24	52622,102
52622443	7	80	02.06.2025	08:51:27	52622,443
52625045	7	80	02.06.2025	08:51:30	52625,045
52625295	7	80	02.06.2025	08:51:33	52625,295
52628342	7	80	02.06.2025	08:51:36	52628,342
52628766	7	80	02.06.2025	08:51:39	52628,766
52627698	7	80	02.06.2025	08:51:42	52627,698
52624043	7	80	02.06.2025	08:51:45	52624,043
52621190	7	80	02.06.2025	08:51:48	52621,19
52618225	6	80	02.06.2025	08:51:51	52618,225
52619880	7	80	02.06.2025	08:51:54	52619,88
52620886	7	80	02.06.2025	08:51:57	52620,886
52620805	7	80	02.06.2025	08:52:00	52620,805
52619678	7	80	02.06.2025	08:52:03	52619,678
52618418	7	80	02.06.2025	08:52:06	52618,418
52617762	7	80	02.06.2025	08:52:09	52617,762
52615183	7	80	02.06.2025	08:52:12	52615,183
52615257	7	80	02.06.2025	08:52:15	52615,257
52618021	7	80	02.06.2025	08:52:18	52618,021
52619818	7	80	02.06.2025	08:52:21	52619,818
52620574	7	80	02.06.2025	08:52:24	52620,574
52618182	6	80	02.06.2025	08:52:27	52618,182
52617956	7	80	02.06.2025	08:52:30	52617,956
52619420	7	80	02.06.2025	08:52:33	52619,42
52620547	7	80	02.06.2025	08:52:36	52620,547
52622741	7	80	02.06.2025	08:52:39	52622,741
52624858	7	80	02.06.2025	08:52:42	52624,858
52625922	6	80	02.06.2025	08:52:45	52625,922
52625876	7	80	02.06.2025	08:52:48	52625,876
52625372	7	80	02.06.2025	08:52:51	52625,372
52626839	7	80	02.06.2025	08:52:54	52626,839
52626581	7	80	02.06.2025	08:52:57	52626,581
52626730	6	80	02.06.2025	08:53:00	52626,73
52629461	7	80	02.06.2025	08:53:03	52629,461
52631125	7	80	02.06.2025	08:53:06	52631,125
52632118	7	80	02.06.2025	08:53:09	52632,118
52631446	7	80	02.06.2025	08:53:12	52631,446
52630574	7	80	02.06.2025	08:53:15	52630,574
52627726	7	80	02.06.2025	08:53:18	52627,726
52627475	7	80	02.06.2025	08:53:21	52627,475
52626437	7	80	02.06.2025	08:53:24	52626,437
52627012	7	80	02.06.2025	08:53:27	52627,012
52629633	7	80	02.06.2025	08:53:30	52629,633
52632217	7	80	02.06.2025	08:53:33	52632,217
52633657	7	80	02.06.2025	08:53:36	52633,657
52634165	7	80	02.06.2025	08:53:39	52634,165
52633516	6	80	02.06.2025	08:53:42	52633,516
52633849	7	80	02.06.2025	08:53:45	52633,849
52633440	7	80	02.06.2025	08:53:48	52633,44
52633465	7	80	02.06.2025	08:53:51	52633,465
52633897	7	80	02.06.2025	08:53:54	52633,897
52634475	7	80	02.06.2025	08:53:57	52634,475
52635620	7	80	02.06.2025	08:54:00	52635,62
52639264	7	80	02.06.2025	08:54:03	52639,264
52638580	7	80	02.06.2025	08:54:06	52638,58
52639000	7	80	02.06.2025	08:54:09	52639
52638863	8	80	02.06.2025	08:54:12	52638,863
52638275	7	80	02.06.2025	08:54:15	52638,275
52640738	7	80	02.06.2025	08:54:18	52640,738
52641300	7	80	02.06.2025	08:54:21	52641,3
52638463	7	80	02.06.2025	08:54:24	52638,463
52637208	7	80	02.06.2025	08:54:27	52637,208
52636113	7	80	02.06.2025	08:54:30	52636,113
52636506	7	80	02.06.2025	08:54:33	52636,506
52637491	7	80	02.06.2025	08:54:36	52637,491
52638283	6	80	02.06.2025	08:54:39	52638,283
52638294	8	80	02.06.2025	08:54:42	52638,294
52637894	7	80	02.06.2025	08:54:45	52637,894
52635101	7	80	02.06.2025	08:54:48	52635,101
52632866	6	80	02.06.2025	08:54:51	52632,866
52631731	7	80	02.06.2025	08:54:54	52631,731
52630852	7	80	02.06.2025	08:54:57	52630,852
52632245	7	80	02.06.2025	08:55:00	52632,245
52627971	7	80	02.06.2025	08:55:03	52627,971
